Koodi,Liikuntapaikkatyyppi=karttatason nimi suomeksi,Pääryhmä1,alaryhmä,karttataso_se,karttataso_en,karttatason tekninen nimi,
0,Virkistyskohteet ja palvelut,,,Rekreationsanläggningar och tjänster,Recreational destinations and services,lipas_0_virkistyskohteet_ja_palvelut,
1,Virkistys- ja retkeilyalueet,0,1,Rekreations- och friluftsområden,Recreational and outdoor areas ,lipas_1_virkistys_ja_retkeilyalueet,
101,Lähipuisto,,,Närpark,Neighbourhood park,lipas_101_lahipuisto,
102,Ulkoilupuisto,,,Friluftspark,Leisure park,lipas_102_lahipuisto,
103,Ulkoilualue,,,Friluftsområde,Outdoor area,lipas_103_lahipuisto,
104,Retkeilyalue,,,Utflyktsområde,Hiking area,lipas_104_lahipuisto,
106,"Monikäyttöalue, jolla on virkistyspalveluita",,,Allaktivitetsområde med rekreationstjänster,Multipurpose area with recreational services,lipas_106_monikayttoalue,
107,Matkailupalveluiden alue,,,Område med turisttjänster,Tourist services area,,
108,Virkistysmetsä,,,Friluftsskog,Recreational forest,lipas_108_virkistysmetsa,
109,Valtion retkeilyalue,,,Statens friluftsområde,National hiking area,lipas_109_valtion_retkeilyalue,
110,Erämaa-alue,,,Vildmarksområden,Wilderness area,lipas_110_eramaa_alue,
111,Kansallispuisto,,,Nationalpark,National park,lipas_111_kansallispuisto,
112,"Muu luonnonsuojelualue, jolla on virkistyspalveluita",,,Annat naturskyddsområde med rekreationstjänster,Other nature conservation area with recreational services,lipas_112_muu_luonnonsuojelualue,
2,Retkeilyn palvelut,0,2,Utflyktstjänster,Hiking facilities,,
207,Opastuspiste,,,Infopunkt,Info,lipas_207_opastuspiste,
204,Luontotorni,,,Naturtorn,Nature observation tower,lipas_204_luontotorni,
201,Kalastusalue / -paikka,,,Område eller plats för fiske,Fishing area/spot ,lipas_201_kalastusalue,
205,Rantautumispaikka,,,Ilandstigningsplats,Boat dock,lipas_205_rantautumispaikka,
203,Veneilyn palvelupaikka,,,Serviceplats för båtfarare,Boating services,lipas_203_veneilyn_palvelupaikka,
206,Ruoanlaittopaikka,,,Matlagningsplats,Cooking facilities,lipas_206_ruoanlaittopaikka,
202,Telttailu ja leiriytyminen,,,Tältning och läger,Camping,lipas_202_telttailu_ja_leiriytyminen,
301,"Laavu, kota tai kammi",,,Vindskydd eller kåta,"Lean-to, goahti",lipas_301_laavu_kota_kammi,
302,Tupa,,,Stuga,Hut,lipas_302_tupa,
304,Ulkoilumaja  /  hiihtomaja,,,Friluftsstuga/skidstuga,Outdoor/ski lodge ,lipas_304_ulkoilumaja_hiihtomaja,
1000,Ulkokentät ja liikuntapuistot,1000,,Utomhusplaner och idrottsparker,Outdoor fields and sports parks,lipas_1000_ulkokentat_ja_liikuntapuistot,
1100,Lähiliikunta ja liikuntapuistot,1000,1100,Närmotion och idrottsparker,Neighbourhood sports facilities and parks ,lipas_1100_lahiliikunta_ja_liikuntapuistot,
1110,Liikuntapuisto,,,Idrottspark,Sports park,lipas_1110_liikuntapuisto,
1120,Lähiliikuntapaikka,,,Näridrottsplats,Neighbourhood sports area,lipas_1120_lahiliikuntapaikka,
1130,Ulkokuntoilupaikka,,,Konditionsplats för utomhusaktiviteter,Fitness training place,lipas_1130_ulkokuntoilupaikka,
1140,Parkour- alue,,,Parkourområde,Parkour area,lipas_1140_parkouralue,
1150,Skeitti / rullaluistelupaikka,,,Plats för skejtning/rullskridskoåkning,Skateboarding/roller-blading rink ,lipas_1150_skeitti_rullaluistelupaikka,
1160,Pyöräilyalue,,,Cykelåkningsområde,Cycling area,lipas_1160_pyorailyalue,
1170,Pyöräilyrata,,,Cykelåkningsbana,Velodrome,lipas_1170_pyorailurata,
1180,Frisbeegolf - rata,,,Frisbeegolfbana,Disc golf course,lipas_1180_frisbeegolf_rata,
1200,Yleisurheilukentät ja -paikat,1000,1200,Planer och platser för friidrott,Athletics fields and venues,lipas_1200_yleisurheilukentat_ja_paikat,
1210,Yleisurheilun harjoitusalue,,,Träningsområde för friidrott,Athletics training area,lipas_1210_yleisurheilun_harjoitusalue,
1220,Yleisurheilukenttä,,,Friidrottsplan,Athletics field,lipas_1220_yleisurheilukentta,
1300,Pallokentät,1000,1300,Bollplaner,Ball games courts,lipas_1300_pallokentat,
1310,Koripallokenttä,,,Basketplan,Basketball court,lipas_1310_koripallokentta,
1320,Lentopallokenttä,,,Volleybollplan,Volleyball court,lipas_1320_lentopallokentta,
1330,Beachvolleykenttä,,,Beachvolleyplan,Beach volleyball court,lipas_1330_beachvolleykentta,
1340,Pallokenttä,,,Bollplan,Ball field,lipas_1340_pallokentta,
1350,Jalkapallostadion,,,Fotbollsstadion,Football stadium,lipas_1350_jalkapallostadion,
1360,Pesäpallokenttä,,,Bobollsplan,Baseball field,lipas_1360_pesapallokentta,
1370,Tenniskenttäalue,,,Område med tennisbanor,Tennis court area,lipas_1370_tenniskentta_alue,
1380,Rullakiekkokenttä,,,Inlinehockeyplan,Roller hockey field,lipas_1380_rullakiekkokentta,
1500,Jääurheilualueet ja luonnonjäät,1000,1500,Isidrottsområden och naturisar,Ice sports areas and sites with natural ice,lipas_1500_jaaurheilualueet_ja_luonnonjaat,
1510,Tekojääkenttä,,,Konstis,Mechanically frozen open-air ice rink,lipas_1510_tekojaakentta,
1520,Luistelukenttä,,,Skridskobana,Ice-skating field,lipas_1520_luistelukentta,
1530,Kaukalo,,,Rink,Rink,lipas_1530_kaukalo,
1540,Pikaluistelurata,,,Bana hastighetsåkning på skridsko,Speed-skating track,lipas_1540_pikaluistelurata,
1550,Luistelureitti,,,Skridskoled,Ice-skating route,lipas_1550_luistelureitt,
1560,Alamäkiluistelurata,,,Skridskobana för utförsåkning,Downhill skating track,lipas_1560_alamakiluistelurata,
1600,Golfkentät,1000,1600,Golfbanor,Golf courses,lipas_1600_golfkentat,
1610,Golfin harjoitusalue,,,Träningsområde för golf,Golf training area,lipas_1610_golfin_harjoitusalue,
1620,Golfkenttä,,,Golfbana,Golf course,lipas_1620_golfkentta,
1630,Golfin harjoitushalli,,,Övningshall för golf,Golf training hall,lipas_1630_golfin_harjoitushalli,
1640,Ratagolf,,,Bangolf,Minigolf course,lipas_1640_ratagolf,
2000,Sisäliikuntatilat,2000,2000,Anläggningar för inomhusidrott,Indoor sports facilities,lipas_2000_sisaliikuntatilat,
