from_id;to_id;walk_t;walk_d;bike_s_t;bike_f_t;bike_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d;car_sl_t
5785640;5967140;444;31076;138;87;31102;157;144;44157;181;150;44157;58;35405;52;35405;33
5785641;5967140;422;29561;137;87;29816;164;147;44362;186;142;39119;61;35616;54;35616;33
5785642;5967140;423;29641;137;87;29816;167;148;44480;186;144;39237;61;35017;54;33241;33
5785643;5967140;428;29934;146;92;31876;178;153;44773;186;148;39530;61;37574;54;35798;33
5787544;5967140;437;30587;135;86;30562;155;137;43667;168;140;43667;58;34979;51;34979;32
5787545;5967140;438;30656;135;86;30562;155;138;43736;168;141;43736;58;35266;51;35266;32
5787546;5967140;441;30882;135;86;30562;157;141;43962;181;147;43962;60;34044;53;32267;32
5787547;5967140;421;29447;137;87;29816;172;154;44861;185;149;39618;60;34435;53;32658;32
5787548;5967140;417;29222;137;87;29816;169;150;44589;182;145;39345;60;34556;54;32780;33
5787549;5967140;419;29356;137;87;29816;172;154;44881;184;149;39638;61;34799;54;33023;33
5787550;5967140;456;31939;146;92;31876;184;140;55246;191;148;48621;61;37373;54;35596;33
5789447;5967140;404;28312;126;80;28464;119;97;40900;130;100;40900;54;32790;48;32790;29
5789448;5967140;408;28593;126;80;28467;119;98;40921;130;101;40921;54;33155;48;33155;29
5789449;5967140;413;28941;126;80;29157;119;98;40981;130;101;40981;55;33580;49;33580;30
5789450;5967140;440;30823;126;80;29157;157;140;43904;181;146;43904;55;33899;49;33899;30
5789451;5967140;441;30862;135;86;30562;157;141;43942;181;147;43942;58;35226;51;35226;32
5789452;5967140;413;28883;135;86;30562;169;148;41456;175;143;36212;60;33943;53;32167;32
5789453;5967140;413;28920;137;87;29816;169;149;41492;175;144;36248;60;34120;53;32343;32
5789454;5967140;414;29007;137;87;29816;169;150;41579;177;155;45613;60;34384;53;32607;32
5789455;5967140;417;29183;146;92;31909;173;153;41755;182;148;36512;61;34604;54;32828;33
5789456;5967140;454;31778;146;92;31909;176;138;55085;191;146;48460;67;37283;60;35507;39
5791353;5967140;412;28858;124;79;28025;122;102;41260;137;105;41260;53;32380;47;32380;29
5791354;5967140;409;28626;125;79;28796;119;99;41028;137;102;41028;55;32971;48;32971;30
5791355;5967140;408;28572;125;79;28708;113;94;40689;130;97;40689;54;33152;48;33152;29
5791356;5967140;409;28634;125;79;28822;119;99;41037;137;102;41037;55;33777;49;33777;30
5791357;5967140;410;28721;126;80;29157;122;102;41105;137;105;41105;55;33891;49;33891;30
5791358;5967140;411;28772;126;80;29157;166;147;41344;172;142;36101;55;33437;49;31661;30
5791359;5967140;408;28575;126;80;29157;160;144;41147;165;149;45180;60;33761;53;31984;32
5791360;5967140;409;28629;137;87;29816;163;145;41201;167;140;35957;60;34129;53;32352;32
5791361;5967140;414;28982;146;92;31909;169;150;41554;175;145;36311;60;34483;53;32707;32
5791362;5967140;418;29293;146;92;31909;173;154;41866;184;149;36622;61;34791;54;33015;33
5791363;5967140;454;31773;146;92;31909;176;137;55080;191;145;48455;67;37179;60;35402;39
5793258;5967140;418;29244;128;81;29270;130;108;41646;143;111;41646;55;33644;49;33644;30
5793259;5967140;413;28944;128;81;29213;125;104;41346;137;107;41346;55;33484;48;33484;30
5793260;5967140;414;28978;127;80;28800;125;104;41380;137;107;41380;55;33448;48;33448;30
5793261;5967140;406;28445;124;79;28609;119;98;40825;130;101;40825;55;33229;48;33229;30
5793262;5967140;405;28340;124;79;28651;119;98;40823;130;101;40823;55;33654;49;33654;30
5793263;5967140;406;28388;124;79;28651;126;103;40406;137;106;40406;55;34760;49;34760;30
5793264;5967140;405;28319;123;78;28363;160;140;40891;161;145;44925;59;33382;53;31605;32
5793265;5967140;405;28360;123;78;28301;160;141;40932;163;146;44966;59;33714;53;31938;32
5793266;5967140;405;28369;129;81;28346;160;141;40941;163;146;44974;60;33911;53;32135;32
5793267;5967140;416;29143;129;81;28346;172;152;41715;180;147;36472;60;34706;53;32930;32
5793268;5967140;422;29541;146;92;31909;181;161;42113;186;153;36869;61;34932;54;33156;33
5793269;5967140;452;31638;143;91;31428;191;147;55761;191;155;49136;66;33745;59;31968;38
5793270;5967140;449;31458;143;91;31428;184;145;55581;191;153;48956;66;36633;59;34857;38
5795164;5967140;419;29319;128;81;29213;131;109;41721;143;112;41721;55;33768;49;33768;30
5795165;5967140;420;29400;128;81;29213;133;110;41802;143;113;41802;55;35545;49;35545;30
5795166;5967140;419;29331;124;78;28339;131;109;41732;143;112;41732;58;35394;52;35394;32
5795167;5967140;402;28119;124;79;28575;119;99;40124;137;102;40124;55;33780;49;33780;30
5795168;5967140;402;28120;123;78;28363;119;99;40124;137;102;40124;57;34341;50;34341;31
